SurveyResponseID,rotation_state,age_group,gender,reading_platform,book_frequency,genre,sessionId,answer_to_1,answer_to_2,answer_to_3,answer_to_4,answer_to_5,answer_to_6,answer_to_7,answer_to_8,answer_to_9,answer_to_10,answer_to_11,answer_to_12,answer_to_13,answer_to_14,answer_to_15,answer_to_16,answer_to_17,answer_to_18,answer_to_19,answer_to_20,answer_to_21,answer_to_22,answer_to_23,answer_to_24
29,IIUU,35-44,['Man'],['E-books'],10-14,"['History', 'Classics/literature', 'Political', 'Other non-fiction']",5cl7v69x,Bit more B than A,Much more B than A,Bit more B than A,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,Much more B than A,Much more B than A,Bit more A than B,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Much more A than B,Bit more B than A,Bit more B than A,Bit more A than B,About the same
30,IIUU,18-24,['Man'],['Physical books'],0-4,"['Science fiction', 'Fantasy']",j1xox6du,Bit more B than A,Much more B than A,About the same,About the same,Bit more B than A,Bit more A than B,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,About the same,About the same,Much more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,About the same,Bit more B than A,Bit more B than A,Bit more A than B,About the same
31,IIUU,18-24,['Man'],['Physical books'],5-9,"['Science fiction', 'Classics/literature', 'Political', 'Westerns']",jfna7x7m,Bit more B than A,Bit more B than A,Bit more B than A,About the same,Much more B than A,About the same,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,Bit more B than A,Bit more A than B,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,Bit more B than A,About the same,Bit more A than B,About the same
12,IIUU,25-34,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Science fiction', 'Poetry', 'Other fiction', 'Other non-fiction']",6eno0nju,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same
18,IIUU,25-34,['Woman'],"['Physical books', 'Audiobooks']",0-4,"['Mystery, thriller and crime', 'Self-help']",6aj6ildk,About the same,Bit more A than B,Bit more B than A,Bit more B than A,Bit more A than B,About the same,About the same,About the same,About the same,Bit more A than B,Bit more A than B,About the same,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more A than B,About the same
19,IIUU,45-54,['Woman'],"['Physical books', 'Audiobooks']",More than 20,"['History', 'Biographies', 'Science fiction', 'Fantasy', 'Self-help', 'Political', 'Business']",64ai8ni9,Bit more B than A,Bit more B than A,About the same,Bit more A than B,About the same,Much more B than A,About the same,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,About the same,About the same,About the same,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,Bit more B than A,Bit more B than A,About the same,About the same
20,IIUU,18-24,['Woman'],['Physical books'],5-9,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy']",vdr36k8g,Bit more A than B,Much more A than B,About the same,Bit more B than A,Bit more A than B,About the same,Bit more B than A,Bit more A than B,Bit more B than A,Much more A than B,Bit more A than B,Bit more A than B,About the same,About the same,About the same,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Much more B than A,About the same,About the same,Much more B than A,About the same
25,IIUU,18-24,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Health', 'True crime', 'Business']",kapfk3f3,Bit more B than A,Bit more B than A,About the same,Bit more A than B,Bit more A than B,About the same,About the same,About the same,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,About the same,Bit more B than A,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,About the same,About the same,Bit more A than B,Much more B than A
26,IIUU,18-24,['Man'],"['Physical books', 'E-books']",0-4,"['Science fiction', 'Fantasy', 'Other fiction']",sb7b2zot,Much more B than A,Much more B than A,Much more B than A,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Much more B than A,Much more B than A,Much more B than A,Bit more A than B,About the same,Bit more B than A,Bit more A than B,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Much more B than A,Much more B than A,Much more B than A,Bit more A than B
28,IIUU,25-34,['Man'],['Physical books'],5-9,"['History', 'Science fiction', 'Political']",sfixiixa,About the same,Bit more B than A,Bit more B than A,Bit more A than B,Much more A than B,Bit more A than B,About the same,About the same,Bit more A than B,Bit more B than A,About the same,About the same,Bit more B than A,About the same,Much more B than A,Much more B than A,Bit more B than A,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,Much more B than A,About the same
