SurveyResponseID,rotation_state,age_group,gender,reading_platform,book_frequency,genre,sessionId,answer_to_1,answer_to_2,answer_to_3,answer_to_4,answer_to_5,answer_to_6,answer_to_7,answer_to_8,answer_to_9,answer_to_10,answer_to_11,answer_to_12,answer_to_13,answer_to_14,answer_to_15,answer_to_16,answer_to_17,answer_to_18,answer_to_19,answer_to_20,answer_to_21,answer_to_22,answer_to_23,answer_to_24
15,UUII,55-64,['Man'],['E-books'],More than 20,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Other non-fiction']",dye68xdb,Bit more A than B,Much more A than B,Bit more A than B,Much more B than A,Bit more A than B,Bit more A than B,Bit more B than A,Bit more B than A,About the same,Much more A than B,Bit more A than B,Much more A than B,Bit more B than A,About the same,Bit more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,Bit more A than B,Much more B than A,About the same
36,UUII,25-34,['Man'],['Physical books'],0-4,"['History', 'Classics/literature', 'Religion/spirituality', 'Self-help']",f9zy2goo,Much more B than A,Much more B than A,Much more B than A,Bit more A than B,Much more B than A,Bit more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more A than B,About the same,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Much more A than B
42,UUII,45-54,['Man'],"['Physical books', 'E-books', 'Audiobooks']",More than 20,"['Mystery, thriller and crime', 'Biographies', 'Science fiction', 'Fantasy', 'Classics/literature', 'Health', 'Other fiction', 'Other non-fiction']",925yttfk,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same
48,UUII,35-44,['Man'],['Audiobooks'],More than 20,"['Science fiction', 'Fantasy']",2kp3k9a3,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Much more A than B,Bit more A than B,Much more A than B,About the same,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Much more A than B,Bit more A than B,Much more B than A,Much more A than B
65,UUII,25-34,['Man'],['Physical books'],0-4,"['Mystery, thriller and crime', 'History', 'Political', 'Business']",791vfka9,Much more A than B,About the same,Bit more B than A,Bit more B than A,Much more B than A,About the same,Much more B than A,Much more B than A,Much more A than B,Much more B than A,About the same,Bit more A than B,Much more A than B,About the same,About the same,Bit more B than A,Much more B than A,Much more A than B,Bit more A than B,Bit more B than A,Much more A than B,Bit more A than B,Much more A than B,Bit more A than B
77,UUII,45-54,['Man'],"['Physical books', 'E-books', 'Audiobooks']",10-14,"['Mystery, thriller and crime', 'Science fiction', 'True crime', 'Other non-fiction']",8ucsssbp,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,Bit more A than B,About the same,About the same
83,UUII,18-24,['Woman'],['Physical books'],0-4,"['Romance', 'Fantasy', 'Poetry']",8hace1lk,About the same,About the same,Bit more A than B,Bit more A than B,Bit more B than A,About the same,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more B than A,About the same
95,UUII,18-24,['Man'],['Physical books'],0-4,['Self-help'],oqcc8ynj,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more B than A,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B
101,UUII,18-24,['Woman'],"['Physical books', 'E-books']",5-9,"['Mystery, thriller and crime', 'Romance', 'Classics/literature']",iqx4og71,Bit more A than B,Bit more A than B,About the same,Bit more B than A,About the same,Bit more A than B,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,Bit more A than B,Bit more A than B,About the same,About the same,Much more A than B,Bit more A than B,Much more A than B,Bit more A than B,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more B than A,About the same
108,UUII,18-24,['Woman'],"['Physical books', 'E-books', 'Online articles']",5-9,"['History', 'Cookbooks', 'Science fiction', 'Fantasy', 'Other non-fiction']",5gz750ir,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,About the same,Bit more A than B,About the same,About the same,Bit more A than B,About the same,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more B than A,About the same
114,UUII,25-34,['Woman'],['Physical books'],10-14,"['Romance', 'Science fiction', 'Fantasy', 'Classics/literature', 'Religion/spirituality', 'Poetry', 'Other fiction']",e1z5rmgl,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same
